STATE CLIMATE OFFICE OF NORTH CAROLINA,
NC STATE UNIVERSITY,
CRONOS Database,
Station ID: KRWI     Station type: ASOS      Station name: Rocky Mount-Wilson Airport,
"City, State: Rocky Mount, NC      County: Nash County",
Latitude: 35.8562528     Longitude: -77.8919333,
Elevation: 159 feet above sea level,
Climate division: NC08 - Northern Coastal Plain,
Supported by: NOAA National Weather Service,
Data retrieval from KRWI - Rocky Mount-Wilson Airport for 2018-10-01   thru   2020-11-31 (1 days),
"18,817 records for this period of record (78404.2% data available; -18,793 missing records)",
,
,
Date/Time (EST),2m Hourly Precipitation (in)
10/1/2018 0:53,
10/1/2018 1:53,
10/1/2018 2:53,
10/1/2018 3:53,
10/1/2018 4:53,
10/1/2018 5:53,
10/1/2018 6:53,
10/1/2018 7:53,
10/1/2018 8:53,
10/1/2018 9:53,
10/1/2018 10:53,
10/1/2018 11:53,
10/1/2018 12:53,
10/1/2018 13:53,
10/1/2018 14:53,
10/1/2018 15:53,
10/1/2018 16:53,
10/1/2018 17:53,
10/1/2018 18:53,
10/1/2018 19:53,
10/1/2018 20:53,
10/1/2018 21:53,
10/1/2018 22:53,
10/1/2018 23:53,
10/2/2018 0:53,
10/2/2018 1:53,
10/2/2018 2:53,
10/2/2018 3:53,
10/2/2018 4:53,
10/2/2018 5:53,
10/2/2018 6:53,
10/2/2018 7:53,
10/2/2018 8:53,
10/2/2018 9:53,
10/2/2018 10:53,
10/2/2018 11:53,
10/2/2018 12:53,
10/2/2018 13:53,
10/2/2018 14:53,
10/2/2018 15:53,
10/2/2018 16:53,
10/2/2018 17:53,
10/2/2018 18:53,
10/2/2018 19:53,
10/2/2018 20:53,
10/2/2018 21:53,
10/2/2018 22:53,
10/2/2018 23:53,
10/3/2018 0:53,
10/3/2018 1:53,
10/3/2018 2:53,
10/3/2018 3:53,
10/3/2018 4:53,
10/3/2018 5:53,
10/3/2018 6:53,
10/3/2018 7:53,
10/3/2018 8:53,
10/3/2018 9:53,
10/3/2018 10:53,
10/3/2018 11:53,
10/3/2018 12:53,
10/3/2018 13:53,
10/3/2018 14:53,
10/3/2018 15:53,
10/3/2018 16:53,
10/3/2018 17:53,
10/3/2018 18:53,
10/3/2018 19:53,
10/3/2018 20:53,
10/3/2018 21:53,
10/3/2018 22:53,
10/3/2018 23:53,
10/4/2018 0:53,
10/4/2018 1:53,
10/4/2018 2:53,
10/4/2018 3:53,
10/4/2018 4:53,
