Month,Year,MGD,CFS,Cell Type
10 ,2018 ,0.173,0.2676656,MAX
10 ,2018 ,0.112,0.1732864,MIN
10 ,2018 ,0.14093548,0.218055375,AVG
11 ,2018 ,0.1934,0.29922848,MAX
11 ,2018 ,0.0747,0.11557584,MIN
11 ,2018 ,0.13796667,0.213462032,AVG
12 ,2018 ,0.215,0.332648,MAX
12 ,2018 ,0.121,0.1872112,MIN
12 ,2018 ,0.14544516,0.225032752,AVG
1 ,2019 ,0.164,0.2537408,MAX
1 ,2019 ,0.088,0.1361536,MIN
1 ,2019 ,0.13403226,0.207374713,AVG
2 ,2019 ,0.199,0.3078928,MAX
2 ,2019 ,0.089,0.1377008,MIN
2 ,2019 ,0.136,0.2104192,AVG
3 ,2019 ,0.1593,0.24646896,MAX
3 ,2019 ,0.0608,0.09406976,MIN
3 ,2019 ,0.13828065,0.213947822,AVG
4 ,2019 ,0.16,0.247552,MAX
4 ,2019 ,0.07,0.108304,MIN
4 ,2019 ,0.12133333,0.187726928,AVG
5 ,2019 ,0.21,0.324912,MAX
5 ,2019 ,0.1,0.15472,MIN
5 ,2019 ,0.14354839,0.222098069,AVG
6 ,2019 ,0.17,0.263024,MAX
6 ,2019 ,0.07,0.108304,MIN
6 ,2019 ,0.13233333,0.204746128,AVG
7 ,2019 ,0.17,0.263024,MAX
7 ,2019 ,0.11,0.170192,MIN
7 ,2019 ,0.14129032,0.218604383,AVG
8 ,2019 ,0.15,0.23208,MAX
8 ,2019 ,0.11,0.170192,MIN
8 ,2019 ,0.13741935,0.212615218,AVG
9 ,2019 ,0.2755,0.4262536,MAX
9 ,2019 ,0.004,0.0061888,MIN
9 ,2019 ,0.13507586,0.208989371,AVG
10 ,2019 ,0.4667,0.72207824,MAX
10 ,2019 ,0.0535,0.0827752,MIN
10 ,2019 ,0.23003226,0.355905913,AVG
11 ,2019 ,0.4203,0.65028816,MAX
11 ,2019 ,0.0887,0.13723664,MIN
11 ,2019 ,0.25990357,0.402122804,AVG
12 ,2019 ,0.4412,0.68262464,MAX
12 ,2019 ,0.1484,0.22960448,MIN
12 ,2019 ,0.25772581,0.398753373,AVG
1 ,2020 ,0.2947,0.45595984,MAX
1 ,2020 ,0.1145,0.1771544,MIN
1 ,2020 ,0.21298065,0.329523662,AVG
2 ,2020 ,0.4598,0.71140256,MAX
2 ,2020 ,0.1667,0.25791824,MIN
2 ,2020 ,0.28042069,0.433866892,AVG
3 ,2020 ,0.4652,0.71975744,MAX
3 ,2020 ,0.1135,0.1756072,MIN
3 ,2020 ,0.20768387,0.321328484,AVG
4 ,2020 ,0.3374,0.52202528,MAX
4 ,2020 ,0.0626,0.09685472,MIN
4 ,2020 ,0.17774333,0.27500448,AVG
5 ,2020 ,0.4997,0.77313584,MAX
5 ,2020 ,0.0813,0.12578736,MIN
5 ,2020 ,0.21933548,0.339355855,AVG
6 ,2020 ,0.3871,0.59892112,MAX
6 ,2020 ,0.0402,0.06219744,MIN
6 ,2020 ,0.16673667,0.257974976,AVG
7 ,2020 ,0.1968,0.30448896,MAX
7 ,2020 ,0.0543,0.08401296,MIN
7 ,2020 ,0.11140323,0.172363077,AVG
8 ,2020 ,0.3328,0.51490816,MAX
8 ,2020 ,0.1269,0.19633968,MIN
8 ,2020 ,0.2192,0.33914624,AVG
9 ,2020 ,0.4238,0.65570336,MAX
9 ,2020 ,0.1303,0.20160016,MIN
9 ,2020 ,0.26162,0.404778464,AVG
10 ,2020 ,0.3908,0.60464576,MAX
10 ,2020 ,0.1897,0.29350384,MIN
10 ,2020 ,0.26829677,0.415108763,AVG
11 ,2020 ,0.8242,1.27520224,MAX
11 ,2020 ,0.1829,0.28298288,MIN
11 ,2020 ,0.33951,0.525289872,AVG
