"","Date","cfs"
"1",Oct 2018,0.2676656
"4",Nov 2018,0.29922848
"7",Dec 2018,0.332648
"10",Jan 2019,0.2537408
"13",Feb 2019,0.3078928
"16",Mar 2019,0.24646896
"19",Apr 2019,0.247552
"22",May 2019,0.324912
"25",Jun 2019,0.263024
"28",Jul 2019,0.263024
"31",Aug 2019,0.23208
"34",Sep 2019,0.4262536
"37",Oct 2019,0.72207824
"40",Nov 2019,0.65028816
"43",Dec 2019,0.68262464
"46",Jan 2020,0.45595984
"49",Feb 2020,0.71140256
"52",Mar 2020,0.71975744
"55",Apr 2020,0.52202528
"58",May 2020,0.77313584
"61",Jun 2020,0.59892112
"64",Jul 2020,0.30448896
"67",Aug 2020,0.51490816
"70",Sep 2020,0.65570336
"73",Oct 2020,0.60464576
"76",Nov 2020,1.27520224
