"","Date","cfs"
"2",Oct 2018,0.1732864
"5",Nov 2018,0.11557584
"8",Dec 2018,0.1872112
"11",Jan 2019,0.1361536
"14",Feb 2019,0.1377008
"17",Mar 2019,0.09406976
"20",Apr 2019,0.108304
"23",May 2019,0.15472
"26",Jun 2019,0.108304
"29",Jul 2019,0.170192
"32",Aug 2019,0.170192
"35",Sep 2019,0.0061888
"38",Oct 2019,0.0827752
"41",Nov 2019,0.13723664
"44",Dec 2019,0.22960448
"47",Jan 2020,0.1771544
"50",Feb 2020,0.25791824
"53",Mar 2020,0.1756072
"56",Apr 2020,0.09685472
"59",May 2020,0.12578736
"62",Jun 2020,0.06219744
"65",Jul 2020,0.08401296
"68",Aug 2020,0.19633968
"71",Sep 2020,0.20160016
"74",Oct 2020,0.29350384
"77",Nov 2020,0.28298288
